t,mass_B,mass_A,mass_C
0,-0.109693195,0.218218268,
0.48,-0.1087825,0.218991178,
1,-0.110786029,0.218991178,
1.48,-0.111696724,0.218991178,
1.96,-0.114428808,0.218218268,
2.48,-0.118071588,0.219248814,
3,-0.120439394,0.218733541,0.011658697
3.48,-0.123080409,0.218991178,0.011419036
4,-0.124082174,0.218991178,0.0127517
4.48,-0.126442686,0.218991178,0.010930029
5,-0.129273134,0.218991178,0.010426033
5.48,-0.130730246,0.219248814,0.010930029
6,-0.133067668,0.219248814,0.009472692
6.48,-0.122577388,0.219248814,0.00765102
7,-0.113973461,0.219248814,0.008744023
7.48,-0.104022192,0.219248814,0.00765102
8,-0.094886621,0.218991178,0.00765102
8.52,-0.085657153,0.218991178,0.00765102
9,-0.079047857,0.218991178,0.007563985
9.52,-0.069264243,0.218733541,0.007946455
10,-0.060070833,0.218733541,0.007169818
10.48,-0.051864072,0.218733541,0.00671239
11,-0.042347017,0.218733541,0.005054481
11.52,-0.033895093,0.218733541,0.005516342
12,-0.022786542,0.212550261,0.004241081
12.52,-0.011200171,0.199733978,0.002621859
13,-0.001783981,0.187044229,6.86E-04
13.52,0.00715855,0.177254036,-0.002735826
14,0.016523564,0.163341655,-0.005342094
14.52,0.026551267,0.151490368,-0.008381713
15,0.039897949,0.13886617,-0.008177281
15.52,0.047565462,0.127014883,-0.010017169
16,0.059970825,0.114133049,-0.011039329
16.52,0.071261872,0.099963032,-0.012041648
17.04,0.081279516,0.090430475,-0.013386355
17.52,0.09111502,0.078321551,-0.012744962
18.04,0.102771914,0.068016083,-0.013926794
18.52,0.109055709,0.054876613,-0.015524866
19.04,0.119073352,0.044313509,-0.01585177
19.52,0.125448216,0.034008042,-0.015267485
20.04,0.135921207,0.022672028,-0.013011188
20.52,0.146849545,0.011336014,-0.015134485
21.04,0.159234995,0.002061093,-0.017911338
21.52,0.16196708,-0.00309164,-0.017893775
22.04,0.16005462,-0.00386455,-0.015838636
22.52,0.161511732,-0.00695619,-0.017685923
23.04,0.160692107,-0.005668007,-0.01660847
23.52,0.161147454,-0.008244374,-0.018478674
24.04,0.161602802,-0.00927492,-0.017475992
24.52,0.159963551,-0.008244374,-0.015857725
25.04,0.160692107,-0.012366561,-0.019977964
25.52,0.161238524,-0.013139471,-0.020607396
26.04,0.160509968,-0.013397107,-0.022527849
26.56,0.159690342,-0.013397107,-0.024300616
27.04,0.159963551,-0.014801433,-0.025070827
27.6,0.160327829,-0.017017199,-0.027802755
28.08,0.15659398,-0.019142094,-0.026576163
28.6,0.156320771,-0.020096957,-0.027598323
29.08,0.154317243,-0.02157727,-0.027598323
29.6,0.154317243,-0.023942203,-0.029029347
30.12,0.153315478,-0.025486998,-0.029233779
30.6,0.152404784,-0.027193165,-0.028007187
31.12,0.151767297,-0.028729389,-0.029847075
31.6,0.150856602,-0.031689312,-0.032095827
32.12,0.147122753,-0.031879705,-0.033731284
32.6,0.144846016,-0.034039617,-0.03536674
33.12,0.141294306,-0.036415399,-0.036593332
33.6,0.141658584,-0.036147222,-0.036687539
