# Synthetic classroom data: bounce with approach, spring-like contact and departure. Independent Gaussian position scatter sigma=0.00015 m; seed=20260911. Gravity omitted over this short interval. Select ranges yourself.
Time (s),Position (m)
0.000000,0.100051470
0.000500,0.098867390
0.001000,0.097937764
0.001500,0.097020839
0.002000,0.096156746
0.002500,0.094916014
0.003000,0.093853416
0.003500,0.093093402
0.004000,0.092167017
0.004500,0.091191633
0.005000,0.090000932
0.005500,0.088935853
0.006000,0.087855868
0.006500,0.087140304
0.007000,0.085791300
0.007500,0.084700628
0.008000,0.083792164
0.008500,0.083018595
0.009000,0.081977132
0.009500,0.080796473
0.010000,0.079624706
0.010500,0.079105991
0.011000,0.078005073
0.011500,0.076729522
0.012000,0.076185778
0.012500,0.075287424
0.013000,0.074128047
0.013500,0.073151454
0.014000,0.072219279
0.014500,0.071034603
0.015000,0.070037626
0.015500,0.068966024
0.016000,0.068017278
0.016500,0.067192735
0.017000,0.066102119
0.017500,0.065234982
0.018000,0.063891221
0.018500,0.063157169
0.019000,0.061906583
0.019500,0.060856345
0.020000,0.059824807
0.020500,0.058933483
0.021000,0.057914316
0.021500,0.056797127
0.022000,0.056103181
0.022500,0.055232461
0.023000,0.053940343
0.023500,0.052871279
0.024000,0.051792705
0.024500,0.050899606
0.025000,0.050049206
0.025500,0.049295791
0.026000,0.048075125
0.026500,0.046807180
0.027000,0.046177280
0.027500,0.045053702
0.028000,0.044223572
0.028500,0.043523347
0.029000,0.042366353
0.029500,0.041690019
0.030000,0.040884976
0.030500,0.040548928
0.031000,0.039714221
0.031500,0.039171899
0.032000,0.038703054
0.032500,0.038043679
0.033000,0.037647066
0.033500,0.037278632
0.034000,0.037270364
0.034500,0.037245070
0.035000,0.037185427
0.035500,0.037282980
0.036000,0.037580824
0.036500,0.037401421
0.037000,0.037818227
0.037500,0.037869382
0.038000,0.038639404
0.038500,0.039322046
0.039000,0.039387608
0.039500,0.040309847
0.040000,0.041108438
0.040500,0.041445913
0.041000,0.042500694
0.041500,0.043375521
0.042000,0.044236046
0.042500,0.044845720
0.043000,0.046159483
0.043500,0.047062749
0.044000,0.047937758
0.044500,0.048830501
0.045000,0.050049113
0.045500,0.051024652
0.046000,0.052198044
0.046500,0.053218591
0.047000,0.054135381
0.047500,0.055005840
0.048000,0.055902019
0.048500,0.057229358
0.049000,0.057989218
0.049500,0.059038231
0.050000,0.060109922
0.050500,0.061205978
0.051000,0.062324084
0.051500,0.063291737
0.052000,0.063779999
0.052500,0.065045054
0.053000,0.065979172
0.053500,0.067256928
0.054000,0.067970837
0.054500,0.069206051
0.055000,0.070103463
0.055500,0.070898058
0.056000,0.072145237
0.056500,0.073115328
0.057000,0.074046750
0.057500,0.074874529
0.058000,0.075930013
0.058500,0.077001780
0.059000,0.078115054
0.059500,0.078936959
0.060000,0.080141060
0.060500,0.080980958
0.061000,0.082151258
0.061500,0.083057891
0.062000,0.083912691
0.062500,0.084878479
0.063000,0.085769396
0.063500,0.086756801
0.064000,0.088058031
0.064500,0.089017634
0.065000,0.090125924
0.065500,0.091126729
0.066000,0.091976559
0.066500,0.093079858
0.067000,0.094204481
0.067500,0.094992647
0.068000,0.096290573
0.068500,0.097021597
0.069000,0.098355341
0.069500,0.098846338
0.070000,0.099955492
0.070500,0.100915259
0.071000,0.101933592
0.071500,0.102973275
0.072000,0.103988067
0.072500,0.104770723
0.073000,0.106068199
0.073500,0.106970548
0.074000,0.107796121
0.074500,0.108790873
0.075000,0.109913686
0.075500,0.111290374
0.076000,0.111733708
0.076500,0.113257478
0.077000,0.114084906
0.077500,0.114909769
0.078000,0.115816281
0.078500,0.117155422
0.079000,0.118042240
0.079500,0.119245556
0.080000,0.120068288
