# Synthetic classroom data: two carts on a one-dimensional track. Independent Gaussian position scatter sigma=0.003 m; seed=20260911. Select before and after intervals away from t=2 s.
Time (s),Cart 1 position (m),Cart 2 position (m)
0.000000,-0.99520360,0.80032956
0.050000,-0.96901301,0.78823230
0.100000,-0.94411115,0.76901374
0.150000,-0.91263321,0.75050763
0.200000,-0.88075947,0.74122561
0.250000,-0.85040293,0.72239906
0.300000,-0.81999205,0.70430397
0.350000,-0.79255016,0.69067567
0.400000,-0.76138983,0.68133712
0.450000,-0.72838721,0.66185390
0.500000,-0.69881967,0.65236072
0.550000,-0.67236692,0.63468003
0.600000,-0.64086634,0.61713956
0.650000,-0.61280858,0.60751825
0.700000,-0.58266981,0.59135715
0.750000,-0.54926417,0.57719479
0.800000,-0.51949895,0.56094115
0.850000,-0.49048047,0.54659907
0.900000,-0.46376977,0.52903175
0.950000,-0.42656308,0.51375019
1.000000,-0.39485932,0.49774288
1.050000,-0.37087327,0.48582736
1.100000,-0.34228885,0.47077139
1.150000,-0.30859649,0.45353011
1.200000,-0.28481080,0.43857505
1.250000,-0.24909891,0.42591562
1.300000,-0.22027662,0.41296619
1.350000,-0.18913567,0.39629991
1.400000,-0.15542188,0.37835143
1.450000,-0.13369136,0.36432630
1.500000,-0.10140295,0.35175857
1.550000,-0.06969385,0.33410653
1.600000,-0.04351962,0.31799965
1.650000,-0.01057875,0.30710298
1.700000,0.01581755,0.29238182
1.750000,0.05181479,0.27476891
1.800000,0.08293831,0.25936379
1.850000,0.11405826,0.24565207
1.900000,0.13484028,0.23052225
1.950000,0.16623142,0.21525025
2.000000,0.20245208,0.19854262
2.050000,0.20970619,0.21083349
2.100000,0.20325137,0.22259605
2.150000,0.21941141,0.23213046
2.200000,0.22458258,0.24044319
2.250000,0.22717116,0.24856795
2.300000,0.23431900,0.25995668
2.350000,0.23509339,0.26850954
2.400000,0.24441563,0.27815032
2.450000,0.24560001,0.29006913
2.500000,0.25628802,0.30337216
2.550000,0.25417975,0.30305063
2.600000,0.26224558,0.31658264
2.650000,0.26705885,0.32862670
2.700000,0.26707443,0.34303831
2.750000,0.27101239,0.35244084
2.800000,0.27611818,0.35849892
2.850000,0.28365233,0.37264080
2.900000,0.28834696,0.38217192
2.950000,0.29399713,0.38701766
3.000000,0.30386965,0.40043151
3.050000,0.30486599,0.41363236
3.100000,0.30866170,0.41989307
3.150000,0.31435347,0.43020862
3.200000,0.31883458,0.44381767
3.250000,0.32346784,0.45305804
3.300000,0.32644811,0.45281389
3.350000,0.33250092,0.46898516
3.400000,0.34650149,0.48189163
3.450000,0.34504181,0.48903668
3.500000,0.35237293,0.49932658
3.550000,0.35624497,0.51346047
3.600000,0.36753265,0.52017199
3.650000,0.36824340,0.53147204
3.700000,0.36660989,0.54101927
3.750000,0.37449898,0.54654407
3.800000,0.38342025,0.56232014
3.850000,0.38221868,0.57164656
3.900000,0.38878360,0.57900791
3.950000,0.39322918,0.59079370
4.000000,0.40064080,0.60043853
