# Synthetic classroom data: two-object collision; time in seconds and positions in meters. Choose intervals away from t=2 s. Independent Gaussian position noise: sigma=0.003 m; seed=20260910.
Time (s),x1 (m),y1 (m),x2 (m),y2 (m)
0.0,-0.998308,0.098451,0.802330,0.803868
0.1,-0.940811,0.111204,0.770607,0.778832
0.2,-0.879394,0.131457,0.738169,0.755008
0.3,-0.820870,0.145992,0.709892,0.737717
0.4,-0.758481,0.161867,0.680570,0.723165
0.5,-0.698899,0.170652,0.653613,0.697995
0.6,-0.641670,0.189254,0.617343,0.676963
0.7,-0.579620,0.204947,0.586777,0.663114
0.8,-0.520498,0.228965,0.560674,0.643265
0.9,-0.462708,0.234954,0.533190,0.618795
1.0,-0.401813,0.246324,0.504594,0.595874
1.1,-0.338380,0.260844,0.475485,0.581062
1.2,-0.279124,0.275002,0.436095,0.559620
1.3,-0.219342,0.300555,0.410458,0.546326
1.4,-0.161252,0.306978,0.385100,0.513581
1.5,-0.100998,0.326895,0.353218,0.503717
1.6,-0.040814,0.337695,0.322199,0.480536
1.7,0.017865,0.358666,0.284696,0.458403
1.8,0.073927,0.371449,0.261667,0.439360
1.9,0.143356,0.386300,0.222898,0.419154
2.0,0.193843,0.398866,0.202836,0.400536
2.1,0.209531,0.377158,0.221120,0.421428
2.2,0.218570,0.360150,0.240133,0.434013
2.3,0.226493,0.344687,0.262768,0.448098
2.4,0.237032,0.315158,0.275770,0.462470
2.5,0.248590,0.301293,0.300430,0.475128
2.6,0.258856,0.280587,0.318350,0.495167
2.7,0.271420,0.262338,0.341290,0.503759
2.8,0.281900,0.241507,0.356057,0.524336
2.9,0.293786,0.213213,0.385483,0.537943
3.0,0.301164,0.197754,0.401480,0.549681
3.1,0.310155,0.179860,0.420555,0.570573
3.2,0.320524,0.156897,0.441560,0.576539
3.3,0.334738,0.140289,0.457361,0.596676
3.4,0.336540,0.114505,0.478653,0.608182
3.5,0.354909,0.105747,0.502699,0.624726
3.6,0.364581,0.076944,0.524744,0.642470
3.7,0.365442,0.058040,0.539940,0.646079
3.8,0.381009,0.041353,0.555292,0.671299
3.9,0.386849,0.022026,0.579575,0.684258
4.0,0.399748,0.002669,0.597732,0.696605
