# Synthetic classroom data: one oil drop with three drift intervals; downward drift, upward motion, faster downward motion. Position increases upward. Transients omitted; this is not a charge measurement. Independent Gaussian scatter sigma=0.003 mm; seed=20260911.
Time (s),Drop position (mm)
0.000000,0.30135197
0.050000,0.29625711
0.100000,0.29392596
0.150000,0.29596251
0.200000,0.29488446
0.250000,0.29177121
0.300000,0.28307406
0.350000,0.29443628
0.400000,0.28288304
0.450000,0.28794571
0.500000,0.28341609
0.550000,0.28583543
0.600000,0.27907736
0.650000,0.27893956
0.700000,0.27822794
0.750000,0.27443376
0.800000,0.27294206
0.850000,0.27233055
0.900000,0.27442170
0.950000,0.26583226
1.000000,0.26907546
1.050000,0.26813302
1.100000,0.26924952
1.150000,0.26234345
1.200000,0.26473697
1.250000,0.26599519
1.300000,0.25911497
1.350000,0.25819315
1.400000,0.25747908
1.450000,0.25734395
1.500000,0.25720038
1.550000,0.25316496
1.600000,0.25075977
1.650000,0.24956800
1.700000,0.25225454
1.750000,0.24802406
1.800000,0.24600854
1.850000,0.25030678
1.900000,0.25179815
1.950000,0.23969810
2.000000,0.24122152
2.050000,0.23940328
2.100000,0.24100806
2.150000,0.23743607
2.200000,0.23452668
2.250000,0.23316385
2.300000,0.23021804
2.350000,0.23278170
2.400000,0.23113281
2.450000,0.22523283
2.500000,0.22794493
2.550000,0.22273862
2.600000,0.22758798
2.650000,0.21699506
2.700000,0.21390438
2.750000,0.21494673
2.800000,0.21692190
2.850000,0.21556346
2.900000,0.21709848
2.950000,0.21133473
3.000000,0.21201420
3.050000,0.22008230
3.100000,0.21620265
3.150000,0.21438966
3.200000,0.22297567
3.250000,0.22546219
3.300000,0.23208310
3.350000,0.22542039
3.400000,0.22909785
3.450000,0.22909322
3.500000,0.23511508
3.550000,0.23601983
3.600000,0.23996767
3.650000,0.24359791
3.700000,0.24876025
3.750000,0.24626692
3.800000,0.25257592
3.850000,0.25640002
3.900000,0.25475166
3.950000,0.25850773
4.000000,0.25955529
4.050000,0.25884986
4.100000,0.26406338
4.150000,0.26548000
4.200000,0.27055125
4.250000,0.27081264
4.300000,0.27789546
4.350000,0.27775913
4.400000,0.28123518
4.450000,0.28008798
4.500000,0.28449329
4.550000,0.28941479
4.600000,0.29261458
4.650000,0.29165582
4.700000,0.29386293
4.750000,0.29248267
4.800000,0.30294565
4.850000,0.30473675
4.900000,0.30583092
4.950000,0.30869515
5.000000,0.31264323
5.050000,0.31524406
5.100000,0.31516272
5.150000,0.31444458
5.200000,0.31996783
5.250000,0.32274837
5.300000,0.32465705
5.350000,0.32702872
5.400000,0.32676587
5.450000,0.33183368
5.500000,0.33058502
5.550000,0.33416711
5.600000,0.34200825
5.650000,0.34675794
5.700000,0.34116958
5.750000,0.35238432
5.800000,0.34959937
5.850000,0.35366338
5.900000,0.35042387
5.950000,0.35333271
6.000000,0.35895061
6.050000,0.35110774
6.100000,0.35397799
6.150000,0.34903095
6.200000,0.34162884
6.250000,0.34338428
6.300000,0.34006694
6.350000,0.32809415
6.400000,0.33199604
6.450000,0.32613781
6.500000,0.32657683
6.550000,0.32067232
6.600000,0.31789563
6.650000,0.31449427
6.700000,0.30920754
6.750000,0.30283405
6.800000,0.30915637
6.850000,0.30010766
6.900000,0.29295322
6.950000,0.29236021
7.000000,0.28671545
7.050000,0.28906597
7.100000,0.28490309
7.150000,0.27765185
7.200000,0.27391119
7.250000,0.27018436
7.300000,0.26824504
7.350000,0.26354004
7.400000,0.26184608
7.450000,0.25184192
7.500000,0.25873141
7.550000,0.25056131
7.600000,0.24368781
7.650000,0.24317541
7.700000,0.23795965
7.750000,0.23926072
7.800000,0.22961177
7.850000,0.23401457
7.900000,0.22498579
7.950000,0.21951081
8.000000,0.21897017
8.050000,0.22093232
8.100000,0.21146955
8.150000,0.21148458
8.200000,0.21026618
8.250000,0.20459516
8.300000,0.18989960
8.350000,0.19639674
8.400000,0.19326638
8.450000,0.19032215
8.500000,0.17837178
8.550000,0.18020067
8.600000,0.17320806
8.650000,0.17796270
8.700000,0.17439775
8.750000,0.17313219
8.800000,0.16092207
8.850000,0.16022278
8.900000,0.15794849
8.950000,0.15317614
9.000000,0.15304303
