# Synthetic classroom data. Fit a sine with a free period. Compare the fitted period to the plotted cycle spacing.
Time (s),Signal (m)
0,1.7765980899336382
0.1125,2.0950145645830593
0.225,2.567124426177708
0.3375,2.9470820706105543
0.45,2.9822444015118386
0.5625,3.012429442001613
0.675,3.0984284887407214
0.7875,2.985288151008699
0.9,2.7062815467972547
1.0125,2.3513806321182247
1.125,1.8826798205635356
1.2375,1.4670736688986352
1.35,0.9841428482718236
1.4625,0.44984697676268426
1.575,-0.1253890059581402
1.6875,-0.4310441864520797
1.8,-0.7724319680839452
1.9125,-0.9853719290328428
2.025,-1.1501156024534502
2.1375,-1.0983535801814026
2.25,-0.9331207128811462
2.3625,-0.7424321606215742
2.475,-0.3574189136311215
2.5875,0.006056630622042876
2.7,0.4077578566398165
2.8125,0.9468413161814183
2.925,1.4247323064032489
3.0375,1.897608834004245
3.15,2.3001582146107613
3.2625,2.7768393779955645
3.375,2.949191773294321
3.4875,3.145624254928957
3.6,3.207029628790666
3.7125,3.0150827997705343
3.825,2.852085734653208
3.9375,2.5683475879158375
4.05,2.121720288644615
4.1625,1.7050958994307426
4.275,1.2387391208594023
4.3875,0.7470209016573466
4.5,0.23699718986384247
4.6125,-0.15357999027621883
4.725,-0.6271336560354519
4.8375,-0.9238452816016598
4.95,-1.0453652664339423
5.0625,-1.1270175193464287
5.175,-1.1627663251373037
5.2875,-0.9223805567610469
5.4,-0.6795192224425394
5.5125,-0.37350448161015526
5.625,0.09028777482536726
5.7375,0.6155041354965441
5.85,1.131520977120345
5.9625,1.5617402144025807
6.075,2.047135877261281
6.1875,2.4462873289162457
6.3,2.8304398061700122
6.4125,2.9928573983215654
6.525,3.152464911080499
6.6375,3.120356125801175
6.75,2.995897285011926
6.8625,2.7917881571302687
6.975,2.4901834796088345
7.0875,2.1005834981858134
7.2,1.567669533925323
7.3125,1.004410219871959
7.425,0.5652395123384265
7.5375,0.10566387109868051
7.65,-0.35711526024041657
7.7625,-0.6361628289308826
7.875,-1.0182327189587794
7.9875,-1.0925098732174676
8.1,-1.1473223297016824
8.2125,-1.1556773279825177
8.325,-0.9553125653518754
8.4375,-0.5337795573329901
8.55,-0.23803183595636518
8.6625,0.2355429612635842
8.775,0.784969939965378
8.8875,1.2605187481809113
9,1.716269170791613
