# Published data: representative Ba-137m decay trace measured with a Geiger-Muller counter.
# Kweon et al., Journal of the Korean Physical Society 65 (2014) 532-540. DOI: 10.3938/jkps.65.532.
# Meaning: each row is one 60-s counting interval after elution from a Cs-137/Ba-137m isotope generator. The net counting rate has the paper's reported standard deviation.
# Suggested fit: R(t)=R0*exp(-lambda*t), with half-life T_1/2=ln(2)/lambda. The paper describes the representative semilog slope as about -0.32 min^-1, corresponding to about 2.6 min.
# Published ensemble result: combining five GM-counter decay measurements gave T_1/2=2.577 +/- 0.009 min. Table 4 reports a chi-square range of 0.97-1.14 for those runs; this is NOT the fit statistic of this single representative trace.
# For comparison, the paper quotes the accepted value T_1/2=2.552 +/- 0.001 min. This file is therefore a real-data decay exercise rather than an exact one-trace reproduction of the ensemble uncertainty.
Elapsed time (min),Net counting rate (1/min),Y standard deviation (1/min),Raw counts
0,173.8,15.4,232
1,134.8,14.1,193
2,100.8,12.8,159
3,79.8,12.0,138
4,68.8,11.5,127
5,54.8,10.9,113
6,41.8,10.3,100
7,30.8,9.7,89
8,18.8,9.1,77
9,11.8,8.7,70
