# Published data: X-ray luminosity correlation for pulsars and pulsar-wind nebulae.
# Hsiang & Chang, MNRAS 502 (2021) 390-397. DOI: 10.1093/mnras/stab025. 35-source sample; millisecond pulsar J2124-3358 is excluded as in the paper.
# Meaning: x is log10(light-cylinder magnetic field (G)); y is log10(pulsar X-ray luminosity (erg/s)). Raw values and the paper's asymmetric luminosity errors are retained in later columns.
# Published fit: pulsar X-ray luminosity (erg/s) proportional to light-cylinder magnetic field (G)^1.59 +/- 0.17; reduced chi^2=3.81. Fit uncertainties are 68% confidence.
# The paper fits a straight line in logarithmic space. 'Y standard deviation (dex)' below is a Data Tool helper formed by averaging the upper/lower log-space errors; it is derived, because the paper tabulates asymmetric luminosity errors and does not specify this symmetrization.
# The authors caution that luminosity uncertainties are dominated by assumed distance errors, so the quoted fit and chi-square are indicative rather than a rigorous statistical model.
log10 light-cylinder magnetic field (G),log10 pulsar X-ray luminosity (erg/s),Y standard deviation (dex),light-cylinder magnetic field (G),pulsar X-ray luminosity (erg/s),Y lower error,Y upper error
5.07554696,34.09691,0.394185208,119000,1.25e+34,8.3e+33,1.33e+34
3.31386722,30.8680564,0.396957123,2060,7.38e+30,4.9e+30,8.05e+30
5.98000337,36.1205739,0.481218494,955000,1.32e+36,9.7e+35,1.89e+36
6.31597035,35.8709888,0.527280183,2070000,7.43e+35,5.54e+35,1.4e+36
5.5575072,36.4800069,0.400249652,361000,3.02e+36,2.01e+36,3.36e+36
3.06069784,30.1702617,0.402794749,1150,1.48e+30,1.02e+30,1.46e+30
2.88366144,30.1789769,0.497018527,765,1.51e+30,1.07e+30,2.83e+30
4.64836001,32.3424227,0.428843584,44500,2.2e+32,1.52e+32,2.7e+32
4.35410844,31.69897,0.183988393,22600,5e+31,2e+31,2e+31
4.2380461,31.4149733,0.0673492869,17300,2.6e+31,4e+30,4e+30
4.44870632,33.5477747,0.378612275,28100,3.53e+33,2.29e+33,3.56e+33
4.58546073,33.4248816,0.477121255,38500,2.66e+33,1.91e+33,4.09e+33
4.20411998,31.8615344,0.538126374,16000,7.27e+31,5.41e+31,1.49e+32
4.85308953,32.665581,0.583986684,71300,4.63e+32,3.73e+32,8.62e+32
4.08635983,31.8536982,0.35913758,12200,7.14e+31,4.72e+31,5.51e+31
4.6180481,34.9938769,0.525243213,41500,9.86e+34,7.54e+34,1.62e+35
4.93951925,33.9786369,0.369255836,87000,9.52e+33,6.1e+33,9.21e+33
4.4345689,32.2600714,0.386765526,27200,1.82e+32,1.19e+32,1.92e+32
4.35410844,32.3856063,0.605426683,22600,2.43e+32,1.99e+32,4.72e+32
4.38381537,33.1702617,0.419892752,24200,1.48e+33,1.01e+33,1.77e+33
4.29003461,33.1875207,0.401487417,19500,1.54e+33,1.03e+33,1.7e+33
4.22530928,31.8299467,0.429989795,16800,6.76e+31,4.67e+31,8.38e+31
4.38560627,31.5092025,0.496912546,24300,3.23e+31,2.38e+31,5.15e+31
4.77232171,33.8432328,0.386649374,59200,6.97e+33,4.57e+33,7.27e+33
5.40312052,33.7723217,0.605707497,253000,5.92e+33,4.85e+33,1.149e+34
4.39967372,32.25042,0.389668115,25100,1.78e+32,1.17e+32,1.89e+32
5.15228834,33.9566486,0.455359214,142000,9.05e+33,6.44e+33,1.22e+34
4.70329138,34.5502284,0.39888682,50500,3.55e+34,2.36e+34,3.92e+34
3.56820172,32.0334238,0.474695003,3700,1.08e+32,7.8e+31,1.59e+32
4.57403127,34.1903317,0.605426683,37500,1.55e+34,1.27e+34,3e+34
2.62117628,30.4727564,0.389791103,418,2.97e+30,1.96e+30,3.11e+30
4.86805636,33.463893,0.404709708,73800,2.91e+33,1.95e+33,3.28e+33
4.42813479,32.8020893,0.412007327,26800,6.34e+32,4.29e+32,7.33e+32
1.88422877,30.161368,0.439588915,76.6,1.45e+30,1.03e+30,1.73e+30
5.1430148,32.5820634,0.477981245,139000,3.82e+32,2.7e+32,6.3e+32
