# Published data: X-ray luminosity correlation for pulsars and pulsar-wind nebulae.
# Hsiang & Chang, MNRAS 502 (2021) 390-397. DOI: 10.1093/mnras/stab025. 35-source sample; millisecond pulsar J2124-3358 is excluded as in the paper.
# Meaning: x is log10(spin-down power (erg/s)); y is log10(pulsar X-ray luminosity (erg/s)). Raw values and the paper's asymmetric luminosity errors are retained in later columns.
# Published fit: pulsar X-ray luminosity (erg/s) proportional to spin-down power (erg/s)^1.15 +/- 0.11; reduced chi^2=3.43. Fit uncertainties are 68% confidence.
# The paper fits a straight line in logarithmic space. 'Y standard deviation (dex)' below is a Data Tool helper formed by averaging the upper/lower log-space errors; it is derived, because the paper tabulates asymmetric luminosity errors and does not specify this symmetrization.
# The authors caution that luminosity uncertainties are dominated by assumed distance errors, so the quoted fit and chi-square are indicative rather than a rigorous statistical model.
log10 spin-down power (erg/s),log10 pulsar X-ray luminosity (erg/s),Y standard deviation (dex),spin-down power (erg/s),pulsar X-ray luminosity (erg/s),Y lower error,Y upper error
37.4313638,34.09691,0.394185208,2.7e+37,1.25e+34,8.3e+33,1.33e+34
34.6532125,30.8680564,0.396957123,4.5e+34,7.38e+30,4.9e+30,8.05e+30
38.6532125,36.1205739,0.481218494,4.5e+38,1.32e+36,9.7e+35,1.89e+36
38.6901961,35.8709888,0.527280183,4.9e+38,7.43e+35,5.54e+35,1.4e+36
38.1760913,36.4800069,0.400249652,1.5e+38,3.02e+36,2.01e+36,3.36e+36
34.50515,30.1702617,0.402794749,3.2e+34,1.48e+30,1.02e+30,1.46e+30
34.5797836,30.1789769,0.497018527,3.8e+34,1.51e+30,1.07e+30,2.83e+30
36.8388491,32.3424227,0.428843584,6.9e+36,2.2e+32,1.52e+32,2.7e+32
36.4149733,31.69897,0.183988393,2.6e+36,5e+31,2e+31,2e+31
36.30103,31.4149733,0.0673492869,2e+36,2.6e+31,4e+30,4e+30
36.146128,33.5477747,0.378612275,1.4e+36,3.53e+33,2.29e+33,3.56e+33
37.0791812,33.4248816,0.477121255,1.2e+37,2.66e+33,1.91e+33,4.09e+33
36.4913617,31.8615344,0.538126374,3.1e+36,7.27e+31,5.41e+31,1.49e+32
37,32.665581,0.583986684,1e+37,4.63e+32,3.73e+32,8.62e+32
35.7075702,31.8536982,0.35913758,5.1e+35,7.14e+31,4.72e+31,5.51e+31
37.2304489,34.9938769,0.525243213,1.7e+37,9.86e+34,7.54e+34,1.62e+35
37.20412,33.9786369,0.369255836,1.6e+37,9.52e+33,6.1e+33,9.21e+33
36.5314789,32.2600714,0.386765526,3.4e+36,1.82e+32,1.19e+32,1.92e+32
36.1139434,32.3856063,0.605426683,1.3e+36,2.43e+32,1.99e+32,4.72e+32
36.39794,33.1702617,0.419892752,2.5e+36,1.48e+33,1.01e+33,1.77e+33
36.4149733,33.1875207,0.401487417,2.6e+36,1.54e+33,1.03e+33,1.7e+33
36.3424227,31.8299467,0.429989795,2.2e+36,6.76e+31,4.67e+31,8.38e+31
36.2552725,31.5092025,0.496912546,1.8e+36,3.23e+31,2.38e+31,5.15e+31
36.80618,33.8432328,0.386649374,6.4e+36,6.97e+33,4.57e+33,7.27e+33
37.748188,33.7723217,0.605707497,5.6e+37,5.92e+33,4.85e+33,1.149e+34
36.447158,32.25042,0.389668115,2.8e+36,1.78e+32,1.17e+32,1.89e+32
37.5314789,33.9566486,0.455359214,3.4e+37,9.05e+33,6.44e+33,1.22e+34
36.7403627,34.5502284,0.39888682,5.5e+36,3.55e+34,2.36e+34,3.92e+34
35.6334685,32.0334238,0.474695003,4.3e+35,1.08e+32,7.8e+31,1.59e+32
37.0791812,34.1903317,0.605426683,1.2e+37,1.55e+34,1.27e+34,3e+34
33.5910646,30.4727564,0.389791103,3.9e+33,2.97e+30,1.96e+30,3.11e+30
36.5682017,33.463893,0.404709708,3.7e+36,2.91e+33,1.95e+33,3.28e+33
36.5314789,32.8020893,0.412007327,3.4e+36,6.34e+32,4.29e+32,7.33e+32
33.0791812,30.161368,0.439588915,1.2e+33,1.45e+30,1.03e+30,1.73e+30
37.3424227,32.5820634,0.477981245,2.2e+37,3.82e+32,2.7e+32,6.3e+32
