# Published data: non-thermal X-ray photon index versus neutron-star surface temperature for the 12 thermally detected pulsars in the Hsiang & Chang sample.
# Hsiang & Chang, MNRAS 502 (2021) 390-397. DOI: 10.1093/mnras/stab025.
# Meaning: x is log10 of the fitted thermal temperature T in eV/k; y is the pulsar power-law photon index Gamma. The paper used orthogonal distance regression because both coordinates have uncertainties.
# Published fit: Gamma = (4.32 +/- 0.66) - (1.23 +/- 0.31)*log10(T); reduced chi^2=9.55. Parameter uncertainties are 68% confidence.
# X and Y standard deviations below are symmetrized helpers from the published asymmetric 68% errors; original lower/upper errors are retained in later columns.
log10 T (eV/k),Photon index Gamma,X standard deviation (dex),Y standard deviation,Temperature (eV/k),T lower error,T upper error,Gamma lower error,Gamma upper error
2.04921802,2.07,0.0334133845,0.02,112,8.6,8.6,0.02,0.02
2.20411998,1.45,0.0326333658,0.225,160,12,12,0.24,0.21
1.92116605,1.47,0.0218894623,0.065,83.4,4.2,4.2,0.07,0.06
1.96894968,2.3,0.0282036379,0.625,93.1,7.3,4.6,0.57,0.68
2.1142773,2.2,0.00868036905,0.4,130.1,2.6,2.6,0.4,0.4
2.14612804,1.72,0.150514998,0.59,140,40,60,0.63,0.55
2.23628528,1.62,0.0357900174,0.2,172.3,13.8,14.6,0.2,0.2
2.30103,1.4,0.238560627,0.6,200,100,100,0.6,0.6
2.23044892,1.23,0.07745098,0.62,170,30,30,0.62,0.62
2.71600334,1.14,0.0295607261,0.06,520,40,30,0.07,0.05
2.11394335,1.63,0.00668198078,0.04,130,2,2,0.05,0.03
2.20248832,1.73,0.0523006166,1.085,159.4,20.6,17.2,1.02,1.15
