# Published data: X-ray luminosity correlation for pulsars and pulsar-wind nebulae.
# Hsiang & Chang, MNRAS 502 (2021) 390-397. DOI: 10.1093/mnras/stab025. 35-source sample; millisecond pulsar J2124-3358 is excluded as in the paper.
# Meaning: x is log10(light-cylinder magnetic field (G)); y is log10(PWN X-ray luminosity (erg/s)). Raw values and the paper's asymmetric luminosity errors are retained in later columns.
# Published fit: PWN X-ray luminosity (erg/s) proportional to light-cylinder magnetic field (G)^1.83 +/- 0.19; reduced chi^2=4.59. Fit uncertainties are 68% confidence.
# The paper fits a straight line in logarithmic space. 'Y standard deviation (dex)' below is a Data Tool helper formed by averaging the upper/lower log-space errors; it is derived, because the paper tabulates asymmetric luminosity errors and does not specify this symmetrization.
# The authors caution that luminosity uncertainties are dominated by assumed distance errors, so the quoted fit and chi-square are indicative rather than a rigorous statistical model.
log10 light-cylinder magnetic field (G),log10 PWN X-ray luminosity (erg/s),Y standard deviation (dex),light-cylinder magnetic field (G),PWN X-ray luminosity (erg/s),Y lower error,Y upper error
5.07554696,34.3541084,0.374094014,119000,2.26e+34,1.46e+34,2.22e+34
3.31386722,31.7701153,0.380657317,2060,5.89e+31,3.83e+31,6e+31
5.98000337,37.2764618,0.387959184,955000,1.89e+37,1.24e+37,1.99e+37
6.31597035,36.3201463,0.432496434,2070000,2.09e+36,1.45e+36,2.6e+36
5.5575072,37.155336,0.370568072,361000,1.43e+37,9.2e+36,1.38e+37
3.06069784,29.5276299,0.385933063,1150,3.37e+29,2.21e+29,3.49e+29
2.88366144,28.9216865,0.646238011,765,8.35e+28,6.94e+28,1.93e+29
4.64836001,32.8536982,0.396487513,44500,7.14e+32,4.74e+32,7.76e+32
4.35410844,32.30103,0.47845755,22600,2e+32,1.46e+32,2.89e+32
4.2380461,31.8195439,0.407690473,17300,6.6e+31,4.44e+31,7.52e+31
4.44870632,33.8709888,0.375152983,28100,7.43e+33,4.8e+33,7.37e+33
4.58546073,34.4969296,0.490869342,38500,3.14e+34,2.29e+34,5.01e+34
4.20411998,32.350248,0.460680642,16000,2.24e+32,1.6e+32,3.1e+32
4.85308953,34.5301997,0.378480976,71300,3.39e+34,2.2e+34,3.41e+34
4.08635983,33.0863598,0.377848814,12200,1.22e+33,7.9e+32,1.23e+33
4.6180481,35.1303338,0.426210949,41500,1.35e+35,9.3e+34,1.64e+35
4.93951925,33.2648178,0.41451553,87000,1.84e+33,1.25e+33,2.14e+33
4.4345689,33.0827854,0.375173455,27200,1.21e+33,7.8e+32,1.21e+33
4.35410844,32.4668676,0.605363641,22600,2.93e+32,2.4e+32,5.68e+32
4.38381537,33.7118072,0.373074541,24200,5.15e+33,3.32e+33,5.05e+33
4.29003461,32.3263359,0.5,19500,2.12e+32,1.58e+32,3.28e+32
4.22530928,32.30103,0.410277549,16800,2e+32,1.35e+32,2.3e+32
4.38560627,32.9344985,0.418203643,24300,8.6e+32,5.86e+32,1.02e+33
4.77232171,34.2304489,0.377301564,59200,1.7e+34,1.1e+34,1.71e+34
5.40312052,34.4065402,0.606151716,253000,2.55e+34,2.09e+34,4.95e+34
4.39967372,33.3201463,0.380994795,25100,2.09e+33,1.36e+33,2.13e+33
5.15228834,34.3710679,0.417528051,142000,2.35e+34,1.6e+34,2.78e+34
4.70329138,32.8280151,0.546094687,50500,6.73e+32,5.25e+32,1.157e+33
3.56820172,32.8325089,0.418508955,3700,6.8e+32,4.63e+32,8.11e+32
4.57403127,34.7250945,0.607839649,37500,5.31e+34,4.36e+34,1.03e+35
2.62117628,29.7874605,0.641317203,418,6.13e+29,4.84e+29,1.86e+30
4.86805636,33.8954225,0.39082411,73800,7.86e+33,5.18e+33,8.35e+33
4.42813479,33.8337844,0.386441627,26800,6.82e+33,4.47e+33,7.11e+33
1.88422877,30.6560982,0.448555702,76.6,4.53e+30,3.25e+30,5.57e+30
5.1430148,32.6063814,0.541612322,139000,4.04e+32,3.06e+32,7.83e+32
