# Radio fits are close to publication; see documentation: asassn14li-radio.md
# Published data: AMI-LA radio light curve of the tidal-disruption event ASASSN-14li.
# Bright et al., MNRAS 475 (2018) 4011-4019. DOI: 10.1093/mnras/sty077. Errors are published 1-sigma flux-density uncertainties.
# Meaning: 15.7 GHz measurements cover the early fading phase; later measurements are at 15.5 GHz, where the emission settles onto a host-galaxy plateau. Time here is MJD - 56983.6, the paper's discovery reference.
# Published all-data fit: F(t)=A*exp(-t/tau)+C, tau=66 +/- 3 d, C=244 +/- 8 uJy, reduced chi^2=0.99. The fitted amplitude A was not tabulated.
# Published alternative all-data fit: fixed -5/3 power law + offset, t0=-47 +/- 5 d, C=180 +/- 10 uJy, reduced chi^2=0.94.
# Published early-decay exponential (t<=200 d): tau=87 +/- 6 d, reduced chi^2=3.24.
Time since reference (d),Flux density (uJy),Y standard deviation (uJy)
30.478,1865,83
31.570,1871,141
33.496,1969,67
37.511,2096,84
55.488,1629,78
77.453,969,150
82.395,870,103
84.489,879,72
86.370,1291,209
89.382,836,286
93.455,860,86
95.457,652,93
98.505,654,66
101.488,781,61
106.481,894,121
110.462,789,90
115.352,761,82
125.441,779,127
130.384,826,367
135.378,740,103
139.341,814,104
142.382,708,87
144.375,717,76
150.358,715,117
155.341,525,73
159.351,560,79
162.321,497,99
167.149,617,191
170.135,503,177
390.723,245,57
392.528,224,65
395.512,307,65
397.691,336,70
402.586,360,93
404.498,305,68
406.492,265,88
408.487,132,89
410.481,298,114
412.466,257,93
415.643,289,60
417.611,216,59
420.497,231,69
422.556,257,61
425.582,262,63
429.419,274,68
435.477,194,63
437.428,255,66
439.381,310,71
444.413,191,72
447.533,253,51
450.438,333,87
454.427,278,63
458.350,286,87
462.440,278,46
477.483,201,49
481.274,154,61
484.297,213,60
499.337,219,86
513.382,211,57
517.389,169,72
524.440,200,83
551.195,226,58
555.215,256,76
592.215,305,96
648.965,143,99
650.942,293,108
656.901,202,78
665.883,187,89
669.880,274,72
677.799,265,108
684.799,254,105
691.882,230,67
694.758,242,81
704.784,211,69
711.740,213,64
712.716,161,78
716.705,249,77
726.702,254,53
733.662,301,58
736.672,254,61
737.627,289,70
747.624,258,90
753.604,216,61
761.626,214,77
765.636,196,62
768.584,277,74
777.583,216,70
781.572,248,68
785.541,199,95
793.543,165,64
799.500,195,130
804.487,210,52
810.450,266,78
815.522,218,89
825.433,209,58
830.437,246,57
837.318,231,54
846.371,199,77
849.363,244,57
851.358,336,98
856.345,265,74
905.311,188,119
937.123,193,85
966.061,261,91
