# Fitted results differ from publication - see documentation: asassn14li-xray.md
# Published data: Swift XRT 0.3-10 keV light curve of the tidal-disruption event ASASSN-14li.
# Bright et al., MNRAS 475 (2018) 4011-4019. DOI: 10.1093/mnras/sty077. Errors are published 1-sigma flux uncertainties.
# Meaning: the X-ray emission from the accretion flow fades for roughly 1000 d but shows substantial short-timescale structure. Time here is MJD - 56983.6, the paper's discovery reference.
# Published exponential fit: F(t)=A*exp(-t/tau), tau=187 +/- 6 d, reduced chi^2=8.54. The large chi^2 reflects real deviations from a simple decay.
# Published alternatives: fixed -5/3 power law gives t0=-155 +/- 9 d and reduced chi^2=13.99; with t0 fixed at -132.35 d, the fitted index is -1.60 +/- 0.05 and reduced chi^2=14.95.
Time since reference (d),X-ray flux (1e-12 erg/s/cm^2),Y standard deviation (1e-12 erg/s/cm^2)
14.659,18.8,0.7
18.037,18.2,0.8
20.597,19.7,1.0
23.696,20.8,0.8
27.235,24.0,0.8
29.499,20.6,0.7
32.492,20.0,0.9
35.976,17.9,0.7
39.145,17.3,0.7
45.982,22.7,0.7
49.544,21.7,1.0
52.510,20.9,1.0
55.634,18.4,0.7
58.696,18.1,0.8
62.024,17.8,0.7
65.221,18.4,0.7
67.934,16.7,0.8
70.539,15.5,0.6
73.960,15.1,0.6
76.565,15.5,0.6
82.249,11.2,0.6
85.179,12.3,0.7
88.137,12.8,0.6
91.310,12.4,0.5
94.033,10.6,0.6
97.589,11.8,0.5
103.317,13.7,0.6
105.781,15.0,0.6
115.821,13.1,0.7
119.055,12.7,0.6
121.711,8.0,0.9
125.608,11.8,0.6
128.333,11.1,0.6
130.528,10.1,0.6
134.120,9.1,0.5
136.717,8.9,0.5
139.978,9.0,0.5
142.643,8.2,0.4
145.800,8.8,0.6
148.960,7.4,0.5
152.960,7.2,0.6
155.747,8.7,0.5
163.997,8.6,0.5
166.656,8.7,0.4
169.886,8.4,0.4
173.047,7.2,0.5
189.506,7.4,0.5
192.534,7.1,0.5
195.594,7.0,0.7
198.865,7.1,0.6
202.455,6.8,0.5
204.949,8.7,2.0
208.245,7.1,0.4
211.595,7.2,0.4
216.782,6.0,0.5
220.207,5.5,0.4
243.017,4.1,0.3
246.779,4.7,0.5
252.870,4.4,0.3
255.260,5.1,0.4
258.520,4.8,0.3
263.307,3.5,0.3
357.145,3.6,0.3
368.243,3.1,0.3
371.098,2.9,0.3
373.765,3.0,0.3
376.658,3.7,0.3
380.351,4.1,0.3
383.340,3.9,0.3
386.300,3.3,0.3
388.655,2.9,0.3
391.979,4.0,0.4
394.811,3.6,0.3
399.603,3.4,1.0
428.084,2.6,0.3
434.130,3.9,0.4
440.206,2.2,0.4
442.866,1.5,0.5
444.158,2.3,0.3
446.069,2.3,0.6
449.719,2.0,0.3
452.143,2.2,0.2
536.219,1.3,0.2
539.007,1.0,0.1
543.227,0.9,0.2
559.086,1.0,0.2
561.855,1.0,0.4
562.801,1.1,0.2
566.531,1.5,0.2
570.783,0.6,0.1
734.441,1.0,0.1
836.834,0.4,0.1
838.366,0.7,0.1
843.317,0.6,0.1
844.968,0.7,0.2
