# Published source data: DyFeO3 coherent antiferromagnetic spin-wave signal in reflection geometry.
# Hortensius et al., Nature Physics 17, 1001-1006 (2021). DOI: 10.1038/s41567-021-01290-4. Source data DOI: 10.5281/zenodo.4716539.
# Meaning: time-resolved Kerr/polarization rotation after 3.1 eV optical pumping. The paper states that the Figure 1 time traces are fit by exponentially damped sines.
# The configured session selects t>=25 ps to emphasize the late propagating-magnon oscillation and fits y=b+exp(-t/tau)[s*sin(2*pi*t/T)+c*cos(2*pi*t/T)].
# Independent equal-scatter fit for t>=25 ps gives T=4.52084 ps (221.20 GHz) and tau=85.42 ps, consistent with the paper's separate Extended Data Fig. 5 statement of a damped-sine lifetime of about 85 ps.
# The paper does not state that the Extended Data Fig. 5 fit used this exact Figure 1 source series or the same time window, so the 85 ps agreement is a comparison rather than an exact reconstruction.
# The deposited Figure 1 source data do not provide point-by-point measurement uncertainties; parameter errors are estimated from residual scatter under the equal-scatter model.
Time (ps),Kerr rotation (arb. u.)
3.335,-1.80791
3.6685,-1.87335
4.002,-1.91787
4.3355,-2.07886
4.669,-2.1541
5.0025,-2.5593
5.336,-2.47049
5.6695,-2.62723
6.003,-2.72421
6.3365,-2.55493
6.67,-2.24486
7.0035,-1.85076
7.337,-1.92126
7.6705,-1.44113
8.004,-1.45108
8.3375,-1.47348
8.671,-1.38928
9.0045,-1.67466
9.338,-2.1646
9.6715,-2.17945
10.005,-2.14156
10.3385,-2.41255
10.672,-2.43076
11.0055,-2.17254
11.339,-1.98793
11.6725,-1.63952
12.006,-1.40512
12.3395,-1.54335
12.673,-1.62231
13.0065,-1.92761
13.34,-2.02364
13.6735,-2.12342
14.007,-2.13116
14.3405,-2.3019
14.674,-2.65828
15.0075,-2.52101
15.341,-2.36654
15.6745,-2.15282
16.008,-1.8875
16.3415,-1.79546
16.675,-1.74728
17.0085,-1.87273
17.342,-1.90113
17.6755,-2.1457
18.009,-2.2673
18.3425,-2.48749
18.676,-2.42938
19.0095,-2.65783
19.343,-2.82657
19.6765,-2.54699
20.01,-2.26249
20.3435,-1.85926
20.677,-1.67768
21.0105,-1.70317
21.344,-1.66979
21.6775,-1.68889
22.011,-1.80704
22.3445,-1.9833
22.678,-2.19173
23.0115,-2.34548
23.345,-2.71618
23.6785,-2.94601
24.012,-2.89466
24.3455,-2.27294
24.679,-2.01613
