# Eot-Wash residual torques: Krishak & Desai, JCAP 07 (2020) 006.
# DOI: 10.1088/1475-7516/2020/07/006; https://arxiv.org/abs/2003.10127
# Source: https://github.com/aditikrishak/EotWash_analysis/blob/eb414d446b30fbf7d5d6a515f9751bcc49d0e2ec/Data.txt
# All 87 rows retained in source order with original numerical tokens; duplicate separations retained.
# Columns: separation (mm), residual torque (fN*m), supplied 1-sigma torque uncertainty (fN*m).
# Comparison: constant, exponential, cosine with phase fixed at 3*pi/4, cosine with free phase.
# Published AICc: -571.3, -572.6, -584.0, -582.1. Data Tool uses AIC for supplied errors.
# Formal statistics are conditional on independent Gaussian errors; see companion notes for limitations.
separation_mm,residual_torque_fN_m,sigma_torque_fN_m
6.23244627e-02,3.90769231e-02,3.56274926e-02
6.53481647e-02,3.63076923e-02,2.31266180e-02
6.66187413e-02,-8.00000000e-03,1.40634839e-02
6.78462076e-02,-7.07692308e-03,5.63406804e-03
6.98417660e-02,-1.78461538e-02,1.22043690e-02
7.33881703e-02,-2.46153846e-03,9.70831957e-03
7.68607968e-02,3.21538462e-02,1.37509621e-02
8.43183785e-02,8.92307692e-03,6.88258013e-03
9.51849685e-02,4.61538462e-03,6.28161174e-03
1.05835552e-01,-4.00000000e-03,7.81304662e-03
1.13805157e-01,-5.84615385e-03,5.31287170e-03
1.45943997e-01,-9.23076923e-04,5.63406804e-03
2.37029074e-01,2.46153846e-03,5.94613400e-03
3.79198313e-01,6.92307692e-03,6.25824547e-03
5.77288243e-01,-7.07692308e-03,3.43774051e-03
9.15332636e-01,0.00000000e+00,7.19479364e-03
1.30104254e+00,3.07692308e-03,5.00034984e-03
1.99451844e+00,3.84615385e-03,5.62539357e-03
3.02135968e+00,7.69230769e-03,6.28161174e-03
4.02724543e+00,3.07692308e-04,4.68782797e-03
5.03965503e+00,1.23076923e-03,4.07478659e-03
8.51193581e+00,1.07692308e-03,4.06278424e-03
6.52498851e-02,1.22047244e-02,1.81342850e-02
6.71475285e-02,1.61417323e-02,2.68567821e-02
6.86771707e-02,2.91338583e-02,3.48671782e-02
6.93839346e-02,-2.08661417e-02,1.49928866e-02
7.15481667e-02,1.41732283e-02,1.18753330e-02
7.48450765e-02,8.66141732e-03,2.02259689e-02
7.89378305e-02,1.02362205e-02,1.36383715e-02
8.20695393e-02,-2.28346457e-02,1.01174915e-02
8.48029358e-02,1.06299213e-02,2.89397579e-02
8.67347739e-02,1.10236220e-02,1.74370755e-02
8.90746707e-02,-2.36220472e-03,8.72376520e-03
9.07314762e-02,1.22047244e-02,1.42955431e-02
9.53018464e-02,7.87401575e-04,1.01354995e-02
9.53018464e-02,7.87401575e-04,6.62476386e-03
9.90827665e-02,3.54330709e-03,6.62476386e-03
1.05558901e-01,-1.57480315e-03,6.97343564e-03
1.21665899e-01,0.00000000e+00,4.18406138e-03
1.31950536e-01,5.90551181e-03,8.37538362e-03
1.45053150e-01,4.72440945e-03,8.71679455e-03
1.78883280e-01,-3.14960630e-03,5.23007673e-03
2.22100324e-01,-5.90551181e-03,6.98214699e-03
2.73899839e-01,1.96850394e-03,5.23007673e-03
3.22163517e-01,-7.87401575e-04,6.27609208e-03
5.31378303e-01,1.10236220e-02,5.92742030e-03
1.02395059e+00,6.69291339e-03,4.58606127e-03
1.22077970e+00,5.11811024e-03,4.53273317e-03
2.01356085e+00,7.87401575e-04,5.23007673e-03
3.02117729e+00,1.96850394e-03,3.48671782e-03
4.01350889e+00,-1.96850394e-03,4.54612384e-03
4.98314668e+00,3.54330709e-03,3.50410804e-03
5.98134462e+00,-5.11811024e-03,5.57874851e-03
8.05416566e+00,6.69291339e-03,5.93766649e-03
5.66733518e-02,7.51509054e-02,4.96977838e-02
5.99461838e-02,3.50100604e-02,3.59356309e-02
6.02073690e-02,1.26760563e-02,2.81339519e-02
6.10254892e-02,6.03621730e-03,2.99297361e-02
6.39210924e-02,1.56941650e-02,2.57395730e-02
6.39754175e-02,-2.14285714e-02,4.30988200e-02
6.49240302e-02,-1.56941650e-02,1.91550311e-02
6.86265509e-02,3.62173038e-03,1.43787386e-02
6.95669744e-02,1.20724346e-02,2.33451941e-02
6.95739275e-02,2.53521127e-02,2.27544743e-02
7.23514749e-02,-2.32394366e-02,1.97536258e-02
7.62132892e-02,-1.38832998e-02,1.55634628e-02
8.12928678e-02,9.35613682e-03,1.07913198e-02
8.47514839e-02,-4.52716298e-03,1.07747050e-02
9.82581648e-02,-6.03621730e-03,1.01761103e-02
1.15500438e-01,2.11267606e-03,7.18313666e-03
1.31102123e-01,-2.17303823e-02,9.57751555e-03
1.51276445e-01,1.26760563e-02,6.61169480e-03
1.61791067e-01,4.82897384e-03,7.20803496e-03
1.75630243e-01,-6.94164990e-03,5.98594722e-03
2.04785256e-01,-3.92354125e-03,4.82602493e-03
2.29989740e-01,-3.62173038e-03,7.20803496e-03
3.22153617e-01,-2.41448692e-03,4.82602493e-03
5.48256128e-01,0.00000000e+00,8.97892083e-03
7.76539849e-01,-3.62173038e-03,5.38735250e-03
1.04374127e+00,-6.03621730e-03,7.18313666e-03
1.16760199e+00,-1.32796781e-02,5.38735250e-03
1.95798515e+00,-1.81086519e-03,4.78875777e-03
2.42328216e+00,-9.95975855e-03,5.98594722e-03
2.95661996e+00,9.65794769e-03,5.98594722e-03
3.78403843e+00,-4.82897384e-03,5.51877065e-03
4.99293589e+00,2.11267606e-03,5.98594722e-03
6.41583632e+00,-2.11267606e-03,5.38735250e-03
