# Fitted results differ from publication - see documentation: pwn-luminosity-vs-edot.md
# Published data: X-ray luminosity correlation for pulsars and pulsar-wind nebulae.
# Hsiang & Chang, MNRAS 502 (2021) 390-397. DOI: 10.1093/mnras/stab025. 35-source sample; millisecond pulsar J2124-3358 is excluded as in the paper.
# Meaning: x is log10(spin-down power (erg/s)); y is log10(PWN X-ray luminosity (erg/s)). Raw values and the paper's asymmetric luminosity errors are retained in later columns.
# Published fit: PWN X-ray luminosity (erg/s) proportional to spin-down power (erg/s)^1.32 +/- 0.13; reduced chi^2=4.38. Fit uncertainties are 68% confidence.
# The paper fits a straight line in logarithmic space. 'Y standard deviation (dex)' below is a Data Tool helper formed by averaging the upper/lower log-space errors; it is derived, because the paper tabulates asymmetric luminosity errors and does not specify this symmetrization.
# The authors caution that luminosity uncertainties are dominated by assumed distance errors, so the quoted fit and chi-square are indicative rather than a rigorous statistical model.
log10 spin-down power (erg/s),log10 PWN X-ray luminosity (erg/s),Y standard deviation (dex),spin-down power (erg/s),PWN X-ray luminosity (erg/s),Y lower error,Y upper error
37.4313638,34.3541084,0.374094014,2.7e+37,2.26e+34,1.46e+34,2.22e+34
34.6532125,31.7701153,0.380657317,4.5e+34,5.89e+31,3.83e+31,6e+31
38.6532125,37.2764618,0.387959184,4.5e+38,1.89e+37,1.24e+37,1.99e+37
38.6901961,36.3201463,0.432496434,4.9e+38,2.09e+36,1.45e+36,2.6e+36
38.1760913,37.155336,0.370568072,1.5e+38,1.43e+37,9.2e+36,1.38e+37
34.50515,29.5276299,0.385933063,3.2e+34,3.37e+29,2.21e+29,3.49e+29
34.5797836,28.9216865,0.646238011,3.8e+34,8.35e+28,6.94e+28,1.93e+29
36.8388491,32.8536982,0.396487513,6.9e+36,7.14e+32,4.74e+32,7.76e+32
36.4149733,32.30103,0.47845755,2.6e+36,2e+32,1.46e+32,2.89e+32
36.30103,31.8195439,0.407690473,2e+36,6.6e+31,4.44e+31,7.52e+31
36.146128,33.8709888,0.375152983,1.4e+36,7.43e+33,4.8e+33,7.37e+33
37.0791812,34.4969296,0.490869342,1.2e+37,3.14e+34,2.29e+34,5.01e+34
36.4913617,32.350248,0.460680642,3.1e+36,2.24e+32,1.6e+32,3.1e+32
37,34.5301997,0.378480976,1e+37,3.39e+34,2.2e+34,3.41e+34
35.7075702,33.0863598,0.377848814,5.1e+35,1.22e+33,7.9e+32,1.23e+33
37.2304489,35.1303338,0.426210949,1.7e+37,1.35e+35,9.3e+34,1.64e+35
37.20412,33.2648178,0.41451553,1.6e+37,1.84e+33,1.25e+33,2.14e+33
36.5314789,33.0827854,0.375173455,3.4e+36,1.21e+33,7.8e+32,1.21e+33
36.1139434,32.4668676,0.605363641,1.3e+36,2.93e+32,2.4e+32,5.68e+32
36.39794,33.7118072,0.373074541,2.5e+36,5.15e+33,3.32e+33,5.05e+33
36.4149733,32.3263359,0.5,2.6e+36,2.12e+32,1.58e+32,3.28e+32
36.3424227,32.30103,0.410277549,2.2e+36,2e+32,1.35e+32,2.3e+32
36.2552725,32.9344985,0.418203643,1.8e+36,8.6e+32,5.86e+32,1.02e+33
36.80618,34.2304489,0.377301564,6.4e+36,1.7e+34,1.1e+34,1.71e+34
37.748188,34.4065402,0.606151716,5.6e+37,2.55e+34,2.09e+34,4.95e+34
36.447158,33.3201463,0.380994795,2.8e+36,2.09e+33,1.36e+33,2.13e+33
37.5314789,34.3710679,0.417528051,3.4e+37,2.35e+34,1.6e+34,2.78e+34
36.7403627,32.8280151,0.546094687,5.5e+36,6.73e+32,5.25e+32,1.157e+33
35.6334685,32.8325089,0.418508955,4.3e+35,6.8e+32,4.63e+32,8.11e+32
37.0791812,34.7250945,0.607839649,1.2e+37,5.31e+34,4.36e+34,1.03e+35
33.5910646,29.7874605,0.641317203,3.9e+33,6.13e+29,4.84e+29,1.86e+30
36.5682017,33.8954225,0.39082411,3.7e+36,7.86e+33,5.18e+33,8.35e+33
36.5314789,33.8337844,0.386441627,3.4e+36,6.82e+33,4.47e+33,7.11e+33
33.0791812,30.6560982,0.448555702,1.2e+33,4.53e+30,3.25e+30,5.57e+30
37.3424227,32.6063814,0.541612322,2.2e+37,4.04e+32,3.06e+32,7.83e+32
