# Published source data: YMnO3 antiferromagnetic Z-mode spin precession at about 30 K.
# Tzschaschel, Satoh & Fiebig, Nature Communications 11, 6142 (2020). DOI: 10.1038/s41467-020-19749-y.
# Meaning: time-resolved Faraday rotation after impulsive optical excitation. The damped oscillation is the antiferromagnetic Z-mode precession.
# Paper model: Phi(t)=A0+A1*exp(-t/t1)+A2*exp(-t/tau)*sin(omega*t+phi0). The configured Data Tool session selects t>=5 ps, after the short pump/probe and thermal transient, and fits the damped-sine term plus a constant baseline.
# Paper text reports an exemplary period of about 18.2 ps and initial phase about 0.1 rad. Source-data temperature scans near 30 K give relaxation times about 145-150 ps with fit standard errors about 4 ps.
# Independent equal-scatter fit for t>=5 ps with Data Tool's damped-sine form gives T=18.17863 ps, tau=148.9254 ps, phase=0.08937 rad; residual scatter=1.0446e-4 arb. u.
# The source workbook does not provide point-by-point measurement uncertainties; parameter errors are therefore estimated from residual scatter under the equal-scatter model.
Delay (ps),Faraday rotation (arb. u.)
-6.33499,6.38863e-05
-5.32629,3.758e-06
-4.3264,5.35518e-05
-3.3265,1.31531e-05
-2.32651,-3.57012e-05
-1.32652,-0.000295004
-1.22895,-0.000367346
-1.12899,-0.000111801
-1.02895,-1.879e-06
-0.9289,0.000383318
-0.82886,0.000962992
-0.72872,0.00199
-0.62868,0.00498
-0.52891,0.01087
-0.42896,0.0207
-0.32891,0.02995
-0.22887,0.04019
-0.12882,0.04618
-0.02878,0.04027
0.07127,0.02985
0.17131,0.01717
0.27136,0.00842
0.3714,0.00367
0.47145,0.00201
0.57149,0.00155
0.67154,0.00156
0.77158,0.00168
0.87163,0.00182
0.97167,0.00194
1.07172,0.00205
1.17176,0.00213
1.27181,0.00219
1.37185,0.00222
1.4719,0.00223
1.57194,0.00221
1.67199,0.00217
1.77203,0.0021
1.87208,0.00201
1.97212,0.0019
2.07217,0.00177
2.17221,0.00163
2.27226,0.00148
2.3723,0.00132
2.47235,0.00116
2.57239,0.000996
2.67244,0.000835
2.77248,0.000681
2.87253,0.000537
2.97257,0.000408
3.07262,0.000297
3.17266,0.000207
3.27271,0.000141
3.37275,0.000101
3.4728,8.77e-05
3.57284,0.000103
3.67289,0.000147
3.77293,0.000219
3.87298,0.000317
3.97302,0.000438
4.07307,0.000578
4.17311,0.000731
4.27316,0.000892
4.3732,0.001055
4.47325,0.001215
4.57329,0.001365
4.67334,0.001501
4.77338,0.001617
4.87343,0.001708
4.97347,0.001771
5.07352,0.001804
5.17356,0.001804
5.27361,0.00177
5.37365,0.001704
5.4737,0.001607
5.57374,0.001483
5.67379,0.001336
5.77383,0.001172
5.87388,0.000997
5.97392,0.000819
6.07397,0.000645
6.17401,0.000483
6.27406,0.00034
6.3741,0.000224
6.47415,0.000141
6.57419,9.54e-05
6.67424,8.85e-05
6.77428,0.000121
6.87433,0.00019
6.97437,0.000291
7.07442,0.000419
7.17446,0.000568
7.27451,0.00073
7.37455,0.000896
7.4746,0.001057
7.57464,0.001203
7.67469,0.001325
7.77473,0.001414
7.87478,0.001465
7.97482,0.001474
8.07487,0.00144
8.17491,0.001365
8.27496,0.001253
8.375,0.00111
8.47505,0.000946
8.57509,0.000772
8.67514,0.000599
8.77518,0.00044
8.87523,0.000305
8.97527,0.000204
9.07532,0.000145
9.17536,0.000132
9.27541,0.000166
9.37545,0.000244
9.4755,0.000361
9.57554,0.000507
9.67559,0.000672
9.77563,0.000843
9.87568,0.001009
9.97572,0.001157
10.07577,0.001275
10.17581,0.001354
10.27586,0.001386
10.3759,0.001369
10.47595,0.001305
10.57599,0.001199
10.67604,0.001059
10.77608,0.000897
10.87613,0.000728
10.97617,0.000566
11.07622,0.000423
11.17626,0.000312
11.27631,0.000243
11.37635,0.000223
11.4764,0.000252
11.57644,0.000329
11.67649,0.000445
11.77653,0.000589
11.87658,0.00075
11.97662,0.000913
12.07667,0.001064
12.17671,0.001191
12.27676,0.001283
12.3768,0.001331
12.47685,0.001333
12.57689,0.001288
12.67694,0.001201
12.77698,0.001078
12.87703,0.00093
12.97707,0.00077
13.07712,0.000614
13.17716,0.000476
13.27721,0.000369
13.37725,0.000302
13.4773,0.000282
13.57734,0.000309
13.67739,0.000382
13.77743,0.000493
13.87748,0.000635
13.97752,0.000792
14.07757,0.000951
14.17761,0.001099
14.27766,0.001222
14.3777,0.001309
14.47775,0.001351
14.57779,0.001345
14.67784,0.001292
14.77788,0.001197
14.87793,0.001069
14.97797,0.000918
15.07802,0.000758
15.17806,0.000604
15.27811,0.000469
15.37815,0.000368
15.4782,0.000309
15.57824,0.000299
15.67829,0.000337
15.77833,0.00042
15.87838,0.00054
15.97842,0.000686
16.07847,0.000845
16.17851,0.001004
