# Synthetic classroom data. Compare equal weights with supplied per-row standard deviations. Assign the third column to Y uncertainty explicitly.
x (s),Signal (m),Y standard deviation (m)
0,0.9971254586831396,0.04
0.06666666666666667,1.071156352276962,0.052000000000000005
0.13333333333333333,1.309048580546032,0.064
0.2,1.483703804399623,0.076
0.26666666666666666,1.714607528702347,0.088
0.3333333333333333,1.635121794967926,0.1
0.4,1.8311299257275837,0.11199999999999999
0.4666666666666667,2.162860976111288,0.124
0.5333333333333333,2.2118124900342746,0.136
0.6,2.532460570617986,0.148
0.6666666666666666,2.443860901876741,0.16
0.7333333333333333,2.697331301893305,0.172
0.8,2.822698516330619,0.184
0.8666666666666667,2.6300073854340638,0.196
0.9333333333333333,2.8283933059370425,0.208
1,2.880762677453927,0.22
1.0666666666666667,3.150088466636434,0.232
1.1333333333333333,3.2331872795123475,0.244
1.2,3.5831637428030856,0.256
1.2666666666666666,2.989116395751866,0.26799999999999996
1.3333333333333333,3.5494251449408685,0.27999999999999997
1.4,3.3412427891651246,0.292
1.4666666666666666,4.3046822751543905,0.30399999999999994
1.5333333333333334,4.505734095260903,0.316
1.6,3.4605499381040223,0.32799999999999996
1.6666666666666667,3.942483603979641,0.33999999999999997
1.7333333333333334,4.6957459616366055,0.352
1.8,4.662390277441703,0.364
1.8666666666666667,4.6866999494704675,0.37599999999999995
1.9333333333333333,4.9789516670940825,0.38799999999999996
2,5.259059730384712,0.39999999999999997
